Date,Age,Gender,Shift,Productivity Score,Temperature,Task Type,Time Taken (mins),Quantity,Line Efficiency,Machine ID,Break Time (mins)
30/1/2023,23,Female,Night,59.50134577,25.98,Inspection,33.71,33,60.86,MCH-305,13
23/1/2023,50,Female,Night,78.72234457,22.55,Packing,28.56,30,56.93,MCH-101,17.4
20/1/2023,46,Male,Evening,77.97898896,23.48,Inspection,27.91,27,64.83,MCH-101,9.4
10/2/2023,37,Male,,55.64001824,28.1,Assembly,52.44,28,77.53,MCH-305,18.6
27/3/2023,37,Female,,78.3570121,25.07,Packing,,34,69.77,MCH-101,14.8
3/1/2023,54,Male,Night,79.49211394,23.78,Inspection,45.79,30,81.02,,12.7
21/1/2023,41,Female,Night,74.84479839,26.46,Packing,32.19,,79.49,MCH-101,9.8
2/1/2023,47,Male,Night,84.830674,24.96,Inspection,23.87,28,62.5,MCH-204,14.6
1/2/2023,28,Male,Morning,68.23212968,25.06,Inspection,62.21,33,71.35,MCH-305,18.6
6/3/2023,23,Male,,47.93032525,27.48,Packing,39.53,31,80.98,MCH-101,15.7
2/2/2023,41,Male,,73.14205794,23.68,Assembly,39.32,25,65.17,MCH-305,13.8
17/2/2023,59,Female,Night,83.74143966,24.19,Packing,29.02,26,72.4,MCH-305,14.4
19/1/2023,49,Female,Evening,71.78525607,26.31,Assembly,41.88,20,60.98,MCH-101,19
5/3/2023,50,Female,Night,62.74355295,27.94,Assembly,32.92,33,67.74,MCH-101,17.1
27/1/2023,41,Female,Night,52.19902931,28.48,Packing,24.45,33,,MCH-305,14.9
27/3/2023,51,Male,Night,30,50.03,Inspection,31.61,29,76.27,MCH-305,17.8
22/2/2023,40,Female,Evening,56.36347768,27.87,Assembly,39.03,28,66.17,MCH-101,17.4
10/1/2023,25,Female,Evening,64.32501939,24.43,Packing,50.33,25,72.15,MCH-204,12.3
5/1/2023,41,Female,Evening,40.48174632,29.65,Inspection,19.25,32,73.81,MCH-204,14
3/1/2023,40,Female,Morning,30,48.93,Inspection,22.61,22,62.11,MCH-204,19.3
4/2/2023,40,Female,Morning,49.15515014,28.66,Inspection,30.73,34,65.98,MCH-305,17
24/1/2023,34,Female,Evening,77.6718818,24.69,Packing,25.64,33,74.63,MCH-204,
13/3/2023,27,Female,Night,63.47527162,27.29,Packing,,36,88.38,MCH-305,16.8
14/2/2023,57,Female,Morning,67.25721888,27.18,Inspection,30.08,30,57.43,MCH-101,12.9
21/3/2023,51,Female,Night,72.12323393,23.97,Inspection,36.25,27,75.25,MCH-204,14.9
1/2/2023,45,Male,Morning,79.65870808,24.96,Inspection,36.67,32,82.14,MCH-101,17.4
